Year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1993,0.018667861,0.019290123,1.11260454,1.261947431,0.54490331,0.018667861,0.019290123,0.018667861,0.019290123,0.018667861,0.018667861,0.019290123
1994,0.018667861,0.019290123,0.018667861,0.041069295,1.548672566,1.187275986,0.906635802,0.406959379,0.019290123,0.018667861,0.018667861,0.019290123
1995,0.018667861,0.023148148,2.550029869,16.38291517,129.47804,90.08736559,6.450617284,6.111857826,4.020061728,5.144862605,0.918458781,0.050154321
1996,0.04853644,0.050154321,1.045400239,20.64665472,22.17305801,34.81182796,18.81944444,3.438620072,1.670524691,2.217741935,0.052270012,0.054012346
1997,0.052270012,0.146604938,0.451762246,4.039725209,4.015077024,0.85125448,0.354938272,0.04853644,0.050154321,0.358422939,0.044802867,0.042438272
1998,0.041069295,0.038580247,8.792562724,28.51702509,21.04637824,18.17502987,10.43209877,3.97625448,2.326388889,3.397550777,0.033602151,0.034722222
1999,0.033602151,0.034722222,2.807646356,27.57616487,525.7620452,629.9955197,217.195216,8.852299881,6.257716049,4.573626045,0.08213859,0.084876543
2000,0.291218638,0.084876543,1.541965352,0.76911589,21.3905277,13.55660096,3.68441358,1.79958184,1.057098765,1.933990442,0.078405018,0.081018519
2001,0.078405018,9.467592593,20.13142174,8.874701314,2.413143232,1.097670251,0.648148148,0.078405018,0.077160494,0.757915173,0.070937873,0.069444444
2002,0.063470729,0.06558642,0.059737157,0.059737157,0.061455261,0.056003584,0.054012346,0.052270012,0.050154321,0.04853644,0.044802867,0.046296296
2003,0.041069295,0.042438272,0.041069295,0.037335723,7.661422484,25.03360215,13.3912037,1.885454002,0.547839506,0.037335723,0.037335723,0.038580247
2004,0.033602151,0.034722222,0.362156511,0.630973716,0.036873156,0.033602151,0.034722222,0.033602151,0.034722222,0.033602151,0.033602151,0.030864198
2005,0.029868578,0.030864198,0.029868578,35.03210872,46.73877417,32.25433094,9.513888889,2.800179211,1.385030864,1.84811828,0.041069295,0.042438272
2006,0.041069295,0.042438272,3.17353644,1.747311828,0.192559816,0.037335723,0.038580247,0.037335723,0.038580247,0.037335723,0.037335723,0.038580247
2007,0.037335723,1.500771605,7.676224612,5.90651135,3.457882661,1.560633214,0.933641975,0.041069295,0.038580247,0.037335723,0.037335723,0.038580247
2008,0.033602151,0.034722222,2.128136201,2.856182796,11.70108161,9.132317802,2.287808642,0.552568698,0.115740741,0.029868578,0.029868578,0.027006173
2009,0.026135006,0.636574074,1.743578256,2.61723417,1.798590626,1.060334528,11.05324074,5.69369773,1.292438272,0.026135006,0.026135006,0.027006173
